created_at,updated_at,owner_id,link_id,collected_at,internal_identification,first_name,last_name,second_last_name,business_name,email,phone_number,address,document_type,document_number
2022-07-01T07:52:00.274119Z,2022-07-01T07:52:00.274549Z,95564b69-1717-4119-92cf-c2c21cbf4abe,6adb297a-3a60-4ef8-a669-a914c53e6534,2022-07-01T07:51:51.556486Z,39aff09f,Armando,Correa,Candelaria,,tvaldez@hotmail.com,(925)010-2624x0931,"Cerrada Michoacán de Ocampo 101 Edif. 683 , Depto. 976
San Teodoro los bajos, NL 83581-4632",CURP,CATZ200625MGTVZSA6
2022-07-03T11:20:50.316562Z,2022-07-03T11:20:50.316791Z,64b575b8-4b5c-4fd0-a2bd-a25044a0addf,d4558a23-8015-426a-ab6e-427c2e6bf0f2,2022-07-01T21:58:00.571284Z,d08d4820,Adalberto,Pedroza,Rentería,,vcotto@rael-angulo.com,+90(1)5773954127,"Pasaje Norte Rodríguez 021 517
Nueva Antigua y Barbuda, MOR 14254",CURP,TAKX551103HCLGYN00
2022-07-07T22:16:59.426921Z,2022-07-07T22:16:59.427151Z,7318cdbe-0a34-42cd-a527-19de03fa8f52,5e2ed1a3-3dbe-4825-882b-9bd19af83125,2022-07-07T21:56:18.330760Z,0a3b8def,Luisa,Coronado,Corona,,caridadviera@yahoo.com,(870)552-4972,"Calle República Árabe Siria 120 530
San Arcelia los bajos, MICH 86359",CURP,KEEI620605HJCRYY01
2022-07-07T06:00:18.622181Z,2022-07-07T06:00:18.622431Z,aeddf8fc-0502-4c71-8ae9-60270e35223f,02ab33a9-a455-4e30-9c67-2f7f1bc22b3b,2022-07-06T21:17:18.086215Z,3e20a97a,Silvia,Franco,Quiñónez,,hregalado@arevalo.net,1-771-998-6186x67465,"Circunvalación Tapia 671 213
Nueva Belice, QRO 98963",CURP,UOIK470425HMNJWQ07
2022-07-01T11:10:12.277996Z,2022-07-01T11:10:12.278347Z,90684de9-9182-4be3-ab0b-1ad4c519723e,f8018f94-9951-41f8-abd7-85e0838b9256,2022-07-01T11:10:08.849638Z,ab41149c,Marisol,Irizarry,Salinas,,rolando68@griego-aguilera.com,(080)351-5980x0789,"Viaducto Rwanda 008 192
Nueva Malta, CHIS 86285-1534",CURP,DUUJ001203HSRNQRA3
2022-07-01T11:21:45.238068Z,2022-07-01T11:21:45.23831Z,8537b5b5-70d0-4609-84c6-65a76d3d9705,a9dee606-77e9-48aa-b9cd-62b899f05f98,2022-07-01T11:21:41.540572Z,473b0d40,Alejandro,Esparza,Alonso,,jorgegiron@cardona-sandoval.org,208.295.2080,"Eje vial Indonesia 888 093
Nueva Noruega, OAX 91837",Cédula de Ciudadanía,45684818
2022-07-08T15:23:18.601759Z,2022-07-08T15:23:18.602021Z,fab799ea-793a-4819-beef-1adf77a8bd1c,995401a3-f420-4488-8360-11ef08b5af0c,2022-07-08T15:23:14.617060Z,453d50cb,Júlia,Aragão,da Rosa,,agatha31@uol.com.br,+55 84 1403-0757,"Residencial Pinto, 41
Dom Silverio
66076795 Alves / PA",CPF,729.158.640-20
2022-07-04T01:07:56.244296Z,2022-07-08T12:40:18.406819Z,f30fb50b-fae6-4b63-8890-66d31fe1a04d,6ebdbad9-3ef3-4d41-8a0e-15cf440521e4,2022-07-04T01:07:52.371154Z,3fdb8431,Carolina,Novaes,Azevedo,,uda-rocha@cardoso.com,+55 (051) 7981 7561,"Condomínio Evelyn Silva, 70
Madre Gertrudes
54243508 Campos da Praia / RR",CPF,057.182.349-14
2022-07-21T02:35:49.103657Z,2022-07-21T02:35:49.103894Z,6c7b6b26-e653-447e-ad81-6ea2b10a0592,0d587a16-e48c-4f01-8f90-9405a1da46e8,2022-07-18T04:08:46.865723Z,e9d47117,Daniel,Porto,Silva,,mdias@ferreira.net,+55 (011) 8437-5309,"Chácara de Oliveira, 11
Vila Atila De Paiva
32657-732 Cardoso de Pereira / BA",CNPJ,71.021.216/0742-49
2022-07-04T01:21:38.149743Z,2022-07-07T21:35:54.743845Z,ff941b92-fd84-41c0-841f-c65dd55ee1c3,7bb5d4eb-b347-4a99-8bb4-e843bfcb9f91,2022-07-04T01:21:34.285908Z,00ca3331,Erick,da Rocha,Pereira,,kfernandes@da.com,71 9155 2474,"Vereda Barros, 7
Vila Bandeirantes
52229-414 Ferreira / SP",CPF,210.785.469-67
